timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,stage,trajectory_type,controller_mode,ff_gain,position_error_xy,position_error_3d
1782795983653342,2,14,0.96353227,0.4471265,-1.9610636,0.051739484,-0.2505695,-0.017913517,0.9685794531331994,0.38542384383992423,-2.0,0.0390663845519125,-0.2202362797007562,0.0,tracking,figure8,planar_ff,1.0,0.06190875095303521,0.07313504647766295
1782795983703442,2,14,0.96599805,0.43420038,-1.9623106,0.05067703,-0.25247493,-0.01670628,0.9705066721615144,0.3743426859730173,-2.0,0.03786785635765648,-0.22211472273525343,0.0,tracking,figure8,planar_ff,1.0,0.06002725388274494,0.07087852550455835
1782795983753372,2,14,0.9681688,0.42283636,-1.9632115,0.049918097,-0.2545587,-0.015667312,0.9723675363153176,0.36320695858462465,-2.0,0.03667107183649241,-0.22393203353926203,0.0,tracking,figure8,planar_ff,1.0,0.0597770515595039,0.07019036334490751
1782795983803286,2,14,0.97038853,0.41124296,-1.9639015,0.04922811,-0.25676307,-0.014621422,0.9741680464824154,0.3519853169501346,-2.0,0.03547239904779798,-0.2256937166082805,0.0,tracking,figure8,planar_ff,1.0,0.05937806556028237,0.06948996279791629
1782795983853621,2,14,0.9725714,0.39954168,-1.9644158,0.04854521,-0.25897554,-0.013984104,0.9759230756999914,0.3405815282383382,-2.0,0.034261423034498056,-0.2274140361056848,0.0,tracking,figure8,planar_ff,1.0,0.05905533021722725,0.06894757412991404
1782795983903313,2,14,0.9750341,0.3857996,-1.9648526,0.04768565,-0.26154286,-0.013337317,0.9775958588339694,0.3292397460754322,-2.0,0.03306380258626427,-0.2290566183401345,0.0,tracking,figure8,planar_ff,1.0,0.056617816492684395,0.06664022081639387
1782795983954100,2,14,0.9771917,0.37397543,-1.9650939,0.04698674,-0.26366368,-0.012813893,0.9792439463182813,0.31756522092791245,-2.0,0.031837718044291655,-0.2306777018598905,0.0,tracking,figure8,planar_ff,1.0,0.05644751176542526,0.06636837271742901
1782795984003336,2,14,0.97938615,0.36211333,-1.9653056,0.046260662,-0.26545775,-0.012805894,0.9807821896379558,0.30617016365921557,-2.0,0.030647156775171595,-0.23219320470332097,0.0,tracking,figure8,planar_ff,1.0,0.05596057862293607,0.06584291777426567
1782795984053673,2,14,0.98157763,0.35012537,-1.9654975,0.045638815,-0.26746687,-0.01286461,0.9822942035787395,0.29444443646976926,-2.0,0.029428062232199684,-0.23368518418731507,0.0,tracking,figure8,planar_ff,1.0,0.05568554112492325,0.06550803404550502
1782795984103412,2,14,0.98409396,0.33598897,-1.9656832,0.044743266,-0.26954854,-0.013040834,0.983727922992516,0.282785756109405,-2.0,0.028221651573086315,-0.23510202945068936,0.0,tracking,figure8,planar_ff,1.0,0.05320448302679795,0.06331159723491181
