timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage,trajectory_type
1782704553181581,2,14,0.80328196,0.5847073,-1.950922,0.082686655,-0.09705341,-0.02633355,0.9048294306824414,0.462303673166188,-2.0,figure8,figure8
1782704553231544,2,14,0.80667126,0.5806337,-1.951509,0.08267822,-0.098868035,-0.026687434,0.908143065908103,0.45624378024801576,-2.0,figure8,figure8
1782704553281498,2,14,0.8100776,0.57653314,-1.9522622,0.08277483,-0.10052624,-0.027004791,0.9114001797467589,0.45007261379254565,-2.0,figure8,figure8
1782704553331467,2,14,0.81400263,0.5716593,-1.9533539,0.0825803,-0.10216052,-0.027194895,0.9146021559573312,0.44378865112552823,-2.0,figure8,figure8
1782704553381497,2,14,0.8173923,0.5674078,-1.9544013,0.08236013,-0.103799604,-0.027339922,0.9177516036592029,0.4373874270715629,-2.0,figure8,figure8
1782704553431515,2,14,0.82082605,0.56300604,-1.9555044,0.08229338,-0.10543422,-0.027149808,0.9208436009283489,0.430879803263228,-2.0,figure8,figure8
1782704553481486,2,14,0.8242724,0.5584174,-1.95663,0.08221528,-0.10708206,-0.026896346,0.923875969285783,0.42427196932823563,-2.0,figure8,figure8
1782704553531626,2,14,0.8282364,0.5528487,-1.958013,0.082336344,-0.10906774,-0.026284574,0.9268613437237232,0.4175367786140026,-2.0,figure8,figure8
1782704553581493,2,14,0.83164805,0.5477899,-1.9592216,0.082488015,-0.111009195,-0.02581278,0.9297734357679449,0.4107355113262623,-2.0,figure8,figure8
1782704553631517,2,14,0.83506584,0.5425148,-1.960521,0.08240824,-0.11300666,-0.025284976,0.9326374202223512,0.4038114510865209,-2.0,figure8,figure8
1782704553681520,2,14,0.8385432,0.53703606,-1.9619479,0.082350604,-0.115119345,-0.024500148,0.9354426155788153,0.3967907231375926,-2.0,figure8,figure8
1782704553731787,2,14,0.84264034,0.5303909,-1.9637854,0.082563244,-0.117706254,-0.023494799,0.9382044521667477,0.3896342470369673,-2.0,figure8,figure8
1782704553781506,2,14,0.8462524,0.5244953,-1.9654534,0.082583204,-0.11996619,-0.022678003,0.9408786359532809,0.38246021598760216,-2.0,figure8,figure8
1782704553831705,2,14,0.849907,0.5184307,-1.9671342,0.08282979,-0.12217684,-0.021670545,0.9435204369831431,0.37512220924616557,-2.0,figure8,figure8
1782704553881486,2,14,0.8534598,0.51225704,-1.9687824,0.082975954,-0.12449371,-0.020468796,0.9460823120416499,0.3677531506964857,-2.0,figure8,figure8
1782704553931614,2,14,0.85724616,0.50487703,-1.9705784,0.082515106,-0.1270414,-0.019117873,0.9486035985559934,0.3602418135463667,-2.0,figure8,figure8
1782704553981505,2,14,0.86018854,0.49847484,-1.9720056,0.0818939,-0.12930752,-0.017934902,0.9510545363663161,0.3526773715103908,-2.0,figure8,figure8
1782704554031709,2,14,0.86284,0.49210998,-1.9731967,0.08098126,-0.13097802,-0.016525075,0.9534619280522689,0.3449778977935681,-2.0,figure8,figure8
