timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage
1782658845527405,1,4,-0.017904066,-0.0039201197,0.0019146204,0.013480524,0.0018701181,-0.0021383609,0.0,0.0,-2.0,warmup
1782658845577412,2,4,-0.018412143,-0.0030816155,0.00070795417,0.013103363,0.0026740697,-0.0026324163,0.0,0.0,-2.0,arming
1782658845627430,2,4,-0.01898386,-0.002271402,-0.00059117377,0.012509939,0.0032653604,-0.0030091058,0.0,0.0,-2.0,arming
1782658845677389,2,4,-0.019605402,-0.0014251019,-0.0018796623,0.012027246,0.0039313114,-0.003447859,0.0,0.0,-2.0,arming
1782658845727437,2,4,-0.020209173,-0.00044024884,-0.0032954663,0.011435454,0.0049915393,-0.0038641132,0.0,0.0,-2.0,arming
1782658845777732,2,4,-0.020729741,0.0003093555,-0.0044048578,0.010984536,0.005632943,-0.0041237418,0.0,0.0,-2.0,arming
1782658845827317,2,4,-0.021319062,0.00097933,-0.0052901953,0.010507554,0.006266091,-0.0043101828,0.0,0.0,-2.0,arming
1782658845877413,2,4,-0.021929648,0.0016240667,-0.0059383214,0.009986048,0.006654248,-0.004419795,0.0,0.0,-2.0,arming
1782658845927423,2,4,-0.02273303,0.0024260907,-0.0065567344,0.009413421,0.0073712687,-0.0044557885,0.0,0.0,-2.0,arming
1782658845977324,2,4,-0.023590695,0.0032243142,-0.006856352,0.008922087,0.008009356,-0.0045963433,0.0,0.0,-2.0,arming
1782658846027418,2,4,-0.024563994,0.0040127356,-0.0069612265,0.008198712,0.008599826,-0.0043447544,0.0,0.0,-2.0,arming
1782658846077336,2,14,-0.025674803,0.004834844,-0.006989762,0.007431948,0.009273103,-0.004243533,0.0,0.0,-2.0,offboard
1782658846127343,2,14,-0.02708197,0.0057694647,-0.007030636,0.0065255533,0.009996821,-0.0041802586,0.0,0.0,-2.0,offboard
1782658846177421,2,14,-0.028286908,0.006431905,-0.007101387,0.005711807,0.010463191,-0.004345511,0.0,0.0,-2.0,offboard
1782658846227302,2,14,-0.029376239,0.0069702542,-0.007169962,0.0048845187,0.010867665,-0.0043990533,0.0,0.0,-2.0,offboard
1782658846277365,2,14,-0.030245021,0.0072329096,-0.0073643923,0.004395886,0.010856722,-0.004495986,0.0,0.0,-2.0,offboard
1782658846327281,2,14,-0.030955056,0.007282419,-0.007791981,0.0039218003,0.010775622,-0.004549655,0.0,0.0,-2.0,offboard
1782658846377389,2,14,-0.031430453,0.007134776,-0.008135587,0.0035280199,0.0106176725,-0.0047573186,0.0,0.0,-2.0,offboard
1782658846427348,2,14,-0.031876273,0.006838977,-0.008508265,0.0031822445,0.010316672,-0.0047970368,0.0,0.0,-2.0,offboard
1782658846477403,2,14,-0.032236926,0.0063336315,-0.008820087,0.0028982807,0.0099743735,-0.004847264,0.0,0.0,-2.0,offboard
1782658846527365,2,14,-0.03252364,0.0056000045,-0.009037375,0.0026435181,0.009219257,-0.004803793,0.0,0.0,-2.0,offboard
1782658846577451,2,14,-0.03262345,0.0048594945,-0.009242639,0.0027055992,0.008490579,-0.004622728,0.0,0.0,-2.0,offboard
1782658846627378,2,14,-0.032608453,0.003926927,-0.009466827,0.0027372485,0.007729711,-0.0044704997,0.0,0.0,-2.0,hover
1782658846677481,2,14,-0.032482028,0.0028720926,-0.009724602,0.0029710415,0.007046274,-0.0044539403,0.0,0.0,-2.0,hover
1782658846727382,2,14,-0.032114543,0.0016957211,-0.01000312,0.0034691375,0.0062815784,-0.0042184684,0.0,0.0,-2.0,hover
1782658846777342,2,14,-0.031540923,0.00070372503,-0.010095432,0.004136904,0.0056259884,-0.004162601,0.0,0.0,-2.0,hover
1782658846827343,2,14,-0.03079661,-0.00021296283,-0.010118827,0.00477449,0.004982934,-0.0038950178,0.0,0.0,-2.0,hover
1782658846877578,2,14,-0.030100351,-0.001016023,-0.010138556,0.005358786,0.004673285,-0.0037650957,0.0,0.0,-2.0,hover
1782658846927333,2,14,-0.029414013,-0.0018487655,-0.01008907,0.006006363,0.0042581814,-0.003480126,0.0,0.0,-2.0,hover
1782658846977531,2,14,-0.028907336,-0.0025500085,-0.009997815,0.0063690185,0.0039668763,-0.0033636047,0.0,0.0,-2.0,hover
1782658847027330,2,14,-0.028548902,-0.003429649,-0.009964481,0.006648015,0.0035243074,-0.003278066,0.0,0.0,-2.0,hover
1782658847077641,2,14,-0.02831176,-0.0044649397,-0.009853199,0.006615967,0.003069591,-0.0030147682,0.0,0.0,-2.0,hover
1782658847127455,2,14,-0.028143916,-0.0057355827,-0.009576827,0.006692595,0.002395383,-0.0026232528,0.0,0.0,-2.0,hover
1782658847177496,2,14,-0.027982645,-0.006812171,-0.009470403,0.0067045684,0.001895218,-0.0024132351,0.0,0.0,-2.0,hover
1782658847227336,2,14,-0.02785518,-0.007827759,-0.009435952,0.0065451786,0.0014600365,-0.0021952395,0.0,0.0,-2.0,hover
1782658847277355,2,14,-0.02772275,-0.008694945,-0.009327307,0.0065589543,0.0010610127,-0.0021198879,0.0,0.0,-2.0,hover
1782658847327299,2,14,-0.027624993,-0.009465249,-0.009195641,0.0062195333,0.0007551803,-0.00196925,0.0,0.0,-2.0,hover
1782658847377625,2,14,-0.027606249,-0.009946497,-0.009101272,0.0059451573,0.0005907011,-0.0017511424,0.0,0.0,-2.0,hover
1782658847427423,2,14,-0.02760225,-0.010311916,-0.009028107,0.0056042057,0.00043310196,-0.0016332368,0.0,0.0,-2.0,hover
1782658847477339,2,14,-0.027540162,-0.010670866,-0.00896132,0.005281754,0.00032720514,-0.001540026,0.0,0.0,-2.0,hover
1782658847527319,2,14,-0.027410582,-0.011007924,-0.009003863,0.0049868384,0.00014654071,-0.0014464599,0.0,0.0,-2.0,hover
1782658847577810,2,14,-0.02733118,-0.011134813,-0.009063676,0.004762002,0.00023160834,-0.0013604669,0.0,0.0,-2.0,hover
1782658847627360,2,14,-0.027436474,-0.0109835025,-0.009090409,0.00411648,0.0004644091,-0.0012504081,0.0,0.0,-2.0,hover
1782658847677368,2,14,-0.02763901,-0.010736906,-0.009058312,0.0036724973,0.0009381193,-0.0011794885,0.0,0.0,-2.0,hover
1782658847727377,2,14,-0.027968166,-0.010415272,-0.008914068,0.003149507,0.0012896495,-0.0012547263,0.0,0.0,-2.0,hover
1782658847777608,2,14,-0.028140428,-0.010146845,-0.008825257,0.0027790423,0.0014376827,-0.0012752182,0.0,0.0,-2.0,hover
1782658847827361,2,14,-0.02831222,-0.009871063,-0.008633539,0.0024305999,0.0015710405,-0.0012136975,0.0,0.0,-2.0,hover
1782658847877405,2,14,-0.028582256,-0.0095532825,-0.0083081275,0.0020244361,0.0018923325,-0.0012137892,0.0,0.0,-2.0,hover
1782658847927326,2,14,-0.029055161,-0.009041217,-0.0077168643,0.0015014053,0.0022545534,-0.0009428502,0.0,0.0,-2.0,hover
1782658847977471,2,14,-0.02966954,-0.008409891,-0.0071018636,0.0007412826,0.0025161235,-0.0007383006,0.0,0.0,-2.0,hover
1782658848027320,2,14,-0.030476714,-0.0075764568,-0.0064564794,9.9325756e-05,0.003091015,-0.0004577454,0.0,0.0,-2.0,hover
1782658848077326,2,14,-0.031395134,-0.0065848166,-0.005828172,-0.00084143673,0.0037610657,-0.000120192504,0.0,0.0,-2.0,hover
1782658848127392,2,14,-0.032751635,-0.0053410563,-0.0051061064,-0.002080832,0.0044871317,0.0001179133,0.0,0.0,-2.0,hover
1782658848177815,2,14,-0.034111306,-0.0041695386,-0.00447914,-0.0032123544,0.0052082874,0.00028556856,0.0,0.0,-2.0,hover
1782658848227505,2,14,-0.035602685,-0.0029200367,-0.0038575232,-0.004463286,0.0060252734,0.00046652084,0.0,0.0,-2.0,hover
1782658848277497,2,14,-0.037127767,-0.0016787009,-0.0032197386,-0.0056564854,0.0067512416,0.00048404027,0.0,0.0,-2.0,hover
